Kecamatan,year,month,CH,R10,R20,SPI3
Bantargadung,1996.0,1.0,370.25,19.17,4.63,
Bantargadung,1996.0,2.0,250.79,12.58,1.84,
Bantargadung,1996.0,3.0,256.51,9.81,4.31,0.02
Bantargadung,1996.0,4.0,355.78,14.53,8.98,-0.38
Bantargadung,1996.0,5.0,145.39,6.68,2.35,-0.83
Bantargadung,1996.0,6.0,89.85,3.05,1.0,-0.78
Bantargadung,1996.0,7.0,48.35,1.03,1.0,-1.13
Bantargadung,1996.0,8.0,194.4,9.6,3.77,-0.03
Bantargadung,1996.0,9.0,197.84,5.66,4.22,0.21
Bantargadung,1996.0,10.0,670.0,23.1,15.78,1.12
Bantargadung,1996.0,11.0,354.2,13.39,6.35,0.57
Bantargadung,1996.0,12.0,402.46,12.59,10.31,0.89
Bantargadung,1997.0,1.0,216.8,10.12,1.02,-1.13
Bantargadung,1997.0,2.0,558.32,18.76,14.51,1.01
Bantargadung,1997.0,3.0,182.89,9.03,1.93,0.61
Bantargadung,1997.0,4.0,342.2,15.73,5.0,1.47
Bantargadung,1997.0,5.0,198.77,9.13,3.68,-1.09
Bantargadung,1997.0,6.0,26.0,1.06,0.22,-0.94
Bantargadung,1997.0,7.0,60.71,2.38,1.08,-1.12
Bantargadung,1997.0,8.0,47.55,1.0,1.0,-1.3
Bantargadung,1997.0,9.0,30.63,0.02,0.0,-1.2
Bantargadung,1997.0,10.0,57.66,2.79,0.01,-1.79
Bantargadung,1997.0,11.0,438.75,17.19,10.38,-1.42
Bantargadung,1997.0,12.0,267.45,12.69,2.28,-2.16
Bantargadung,1998.0,1.0,161.06,6.42,1.83,-1.76
Bantargadung,1998.0,2.0,312.01,10.06,5.0,-1.29
Bantargadung,1998.0,3.0,342.29,15.13,4.6,-0.46
Bantargadung,1998.0,4.0,323.34,13.76,3.81,0.61
Bantargadung,1998.0,5.0,346.31,16.46,7.85,0.93
Bantargadung,1998.0,6.0,207.96,8.76,3.56,0.84
Bantargadung,1998.0,7.0,217.15,8.78,3.93,0.99
Bantargadung,1998.0,8.0,182.31,7.4,2.9,1.04
Bantargadung,1998.0,9.0,133.67,4.7,1.97,0.5
Bantargadung,1998.0,10.0,317.83,15.39,2.32,0.21
Bantargadung,1998.0,11.0,460.28,22.13,9.98,-0.19
Bantargadung,1998.0,12.0,394.67,16.69,5.23,-0.14
Bantargadung,1999.0,1.0,392.61,16.22,5.65,0.32
Bantargadung,1999.0,2.0,196.3,10.07,0.26,0.07
Bantargadung,1999.0,3.0,331.27,18.63,3.05,0.34
Bantargadung,1999.0,4.0,296.21,13.06,4.8,-0.75
Bantargadung,1999.0,5.0,171.08,7.67,0.64,-0.52
Bantargadung,1999.0,6.0,60.26,1.16,1.0,-1.21
Bantargadung,1999.0,7.0,69.15,2.52,1.56,-1.03
Bantargadung,1999.0,8.0,24.41,0.0,0.0,-1.13
Bantargadung,1999.0,9.0,70.42,3.72,0.6,-1.02
Bantargadung,1999.0,10.0,539.81,17.61,10.26,0.21
Bantargadung,1999.0,11.0,309.41,15.55,3.37,-0.16
Bantargadung,1999.0,12.0,360.52,14.51,7.09,0.02
