Kecamatan,year,CH_DJF,R10_DJF,R20_DJF,SPI3_DJF,CH_JJA,R10_JJA,R20_JJA,SPI3_JJA
Bantargadung,1996.0,621.04,31.75,6.47,,332.6,13.68,5.77,-0.65
Bantargadung,1997.0,1177.58,41.47,25.83,0.25,134.27,4.44,2.3,-1.12
Bantargadung,1998.0,740.52,29.16,9.11,-1.74,607.41,24.94,10.39,0.96
Bantargadung,1999.0,983.58,42.98,11.13,0.08,153.82,3.68,2.56,-1.13
Bantargadung,2000.0,1088.55,45.53,17.66,-0.02,292.91,13.47,3.12,0.11
Bantargadung,2001.0,1007.42,44.38,14.53,0.41,344.07,12.94,6.57,0.27
Bantargadung,2002.0,753.52,28.94,11.99,-0.21,329.47,11.78,5.75,-0.23
Bantargadung,2003.0,789.33,37.2,7.28,-1.47,164.3,6.56,3.4,-1.85
Bantargadung,2004.0,850.14,39.46,8.49,-0.5,282.23,11.5,4.41,-0.31
Bantargadung,2005.0,1185.71,51.74,22.39,0.16,559.69,19.71,11.4,0.46
Bantargadung,2006.0,1045.11,52.14,11.25,-0.28,177.05,7.05,3.22,-0.79
Bantargadung,2007.0,950.14,42.45,13.29,-0.94,285.01,12.89,3.34,0.03
Bantargadung,2008.0,1570.4,52.62,31.33,2.02,167.84,6.93,3.21,-1.16
Bantargadung,2009.0,1026.33,42.56,18.26,0.29,248.74,9.87,3.49,0.04
Bantargadung,2010.0,1008.75,47.67,10.24,-0.05,813.59,35.39,15.09,1.37
Bantargadung,2011.0,746.22,32.38,4.16,-0.99,199.75,7.23,4.38,-0.45
Bantargadung,2012.0,866.69,36.09,6.88,-0.3,182.29,7.23,1.76,-0.35
Bantargadung,2013.0,1173.91,50.76,18.52,1.04,689.54,23.5,14.3,1.33
Bantargadung,2014.0,1507.93,53.74,31.04,1.53,613.54,20.4,11.98,0.79
Bantargadung,2015.0,1098.59,48.98,21.14,0.21,148.36,4.45,2.79,-1.39
Bantargadung,2016.0,951.24,43.9,11.27,-0.87,927.98,32.55,18.62,2.01
Bantargadung,2017.0,752.42,30.94,4.69,0.67,464.66,18.68,10.5,0.9
Bantargadung,2018.0,815.81,37.53,8.4,0.16,149.82,5.2,2.08,-0.85
Bantargadung,2019.0,850.51,36.74,7.89,-0.27,96.74,4.34,1.07,-1.45
