Kecamatan,year,CH_DJF,R10_DJF,R20_DJF,SPI_DJF,CH_JJA,R10_JJA,R20_JJA,SPI_JJA
Bantargadung,1996,621.02,31.76,6.46,,332.6,13.68,5.76,-0.65
Bantargadung,1997,1177.58,41.47,25.83,0.25,134.28,4.45,2.3,-1.12
Bantargadung,1998,740.51,29.16,9.11,-1.74,607.42,24.95,10.37,0.96
Bantargadung,1999,983.58,42.97,11.14,0.08,153.79,3.68,2.56,-1.12
Bantargadung,2000,1088.53,45.53,17.67,-0.02,292.91,13.48,3.11,0.11
Bantargadung,2001,1007.42,44.37,14.52,0.4,344.09,12.95,6.58,0.27
Bantargadung,2002,753.52,28.94,11.99,-0.21,329.47,11.78,5.75,-0.23
Bantargadung,2003,789.34,37.17,7.29,-1.47,164.31,6.55,3.42,-1.85
Bantargadung,2004,850.13,39.45,8.48,-0.49,282.25,11.5,4.4,-0.31
Bantargadung,2005,1185.73,51.76,22.42,0.17,559.67,19.68,11.41,0.46
Bantargadung,2006,1045.09,52.11,11.28,-0.28,177.03,7.05,3.21,-0.79
Bantargadung,2007,950.13,42.46,13.27,-0.94,285.03,12.87,3.35,0.02
Bantargadung,2008,1570.41,52.61,31.33,2.02,167.86,6.93,3.21,-1.16
Bantargadung,2009,1026.32,42.58,18.26,0.29,248.73,9.88,3.5,0.04
Bantargadung,2010,1008.76,47.67,10.21,-0.05,813.58,35.4,15.08,1.38
Bantargadung,2011,746.2,32.39,4.17,-1.0,199.77,7.23,4.4,-0.45
Bantargadung,2012,866.7,36.07,6.9,-0.3,182.28,7.24,1.75,-0.35
Bantargadung,2013,1173.92,50.79,18.54,1.04,689.53,23.51,14.33,1.33
Bantargadung,2014,1507.94,53.74,31.04,1.54,613.53,20.41,11.98,0.79
Bantargadung,2015,1098.59,48.98,21.14,0.21,148.38,4.44,2.79,-1.39
Bantargadung,2016,951.24,43.89,11.29,-0.87,927.95,32.55,18.64,2.01
Bantargadung,2017,752.41,30.94,4.7,0.66,464.67,18.66,10.51,0.9
Bantargadung,2018,815.79,37.53,8.39,0.16,149.81,5.21,2.09,-0.85
Bantargadung,2019,850.52,36.77,7.88,-0.27,96.74,4.35,1.06,-1.46
Bantargadung,2020,1095.53,44.24,20.15,-0.33,383.45,14.07,5.8,0.53
Bantargadung,2021,1002.51,40.61,14.14,0.11,503.57,17.76,7.89,0.51
Bantargadung,2022,775.42,30.75,5.75,0.28,677.31,27.87,11.88,0.97
Bantargadung,2023,873.64,37.46,8.68,0.11,310.13,11.64,5.68,-0.15
Bantargadung,2024,771.16,33.95,5.45,-0.68,416.31,17.35,6.24,0.27
Bantargadung,2025,1027.47,38.66,15.22,1.05,820.06,32.79,20.4,1.3
Bantargadung,2026,489.46,19.25,9.79,0.77,,,,
Baros,1996,650.91,30.87,8.04,,355.47,14.64,6.95,-0.68
Baros,1997,1225.85,42.04,25.37,0.11,136.92,5.56,1.4,-1.1
Baros,1998,864.69,35.22,11.02,-1.03,697.41,26.84,12.81,1.18
Baros,1999,1027.25,45.75,13.44,0.06,171.0,6.02,3.23,-1.19
Baros,2000,1096.61,47.26,17.36,0.03,336.29,10.1,6.54,0.2
Baros,2001,1123.52,51.95,21.86,0.79,376.74,12.33,7.5,0.33
Baros,2002,881.62,36.98,13.42,0.22,317.37,9.91,6.25,-0.37
Baros,2003,858.11,36.75,9.23,-1.56,181.14,5.31,2.4,-1.79
Baros,2004,919.2,42.56,10.39,-0.44,297.77,12.66,5.42,-0.17
Baros,2005,1206.61,52.76,21.62,0.08,578.58,17.21,10.12,0.32
Baros,2006,1163.24,57.17,11.53,0.07,183.86,7.53,4.11,-0.74
Baros,2007,965.81,41.62,15.95,-1.21,313.96,10.19,5.76,0.04
Baros,2008,1548.21,57.16,29.72,1.92,205.62,6.57,4.3,-1.02
Baros,2009,1081.18,43.5,18.35,0.32,270.02,9.62,5.71,0.08
Baros,2010,1076.97,50.31,10.94,-0.06,918.68,28.8,20.37,1.26
Baros,2011,785.26,34.98,4.99,-0.96,226.08,9.1,3.82,-0.37
Baros,2012,895.64,38.41,7.47,-0.24,218.56,6.92,2.37,-0.24
Baros,2013,1201.1,54.26,20.61,1.01,729.45,23.29,14.68,1.47
Baros,2014,1508.22,57.32,34.3,1.26,656.41,19.87,11.49,0.89
Baros,2015,1175.78,50.06,20.71,0.21,151.69,6.15,2.3,-1.44
Baros,2016,978.24,44.35,13.56,-1.05,1012.58,36.01,20.54,1.99
Baros,2017,789.5,32.56,8.09,0.46,422.8,13.0,7.7,0.6
Baros,2018,860.0,38.52,8.36,0.2,167.98,6.74,2.33,-0.81
Baros,2019,861.87,39.27,5.51,-0.55,98.17,2.67,0.91,-1.5
Baros,2020,1143.93,45.66,20.56,-0.53,398.14,10.37,5.39,0.53
Baros,2021,1013.85,39.3,15.65,-0.15,554.67,18.26,11.8,0.49
Baros,2022,803.93,38.03,5.3,0.36,710.77,25.82,13.12,0.95
Baros,2023,935.31,35.97,9.01,0.44,287.54,9.66,4.32,-0.34
Baros,2024,823.96,39.52,5.54,-0.86,450.65,15.25,9.31,0.11
Baros,2025,1036.01,41.61,12.17,0.82,870.49,33.16,21.15,1.27
Baros,2026,415.59,19.01,7.69,0.75,,,,
Bojonggenteng,1996,580.49,25.5,5.45,,355.11,14.83,6.83,-0.59
Bojonggenteng,1997,1122.1,39.08,23.41,0.21,127.33,3.9,1.9,-1.2
Bojonggenteng,1998,703.65,26.08,7.34,-1.14,561.43,23.13,7.49,1.09
Bojonggenteng,1999,887.1,39.17,10.78,-0.22,152.74,4.81,3.3,-1.33
Bojonggenteng,2000,1005.88,40.93,15.48,-0.18,299.08,11.7,4.51,0.26
Bojonggenteng,2001,1001.41,43.95,14.01,0.67,323.46,13.12,6.74,0.27
Bojonggenteng,2002,764.87,31.09,12.66,-0.01,300.99,14.45,5.49,-0.3
Bojonggenteng,2003,746.96,34.71,6.28,-1.66,152.24,6.29,3.47,-1.98
Bojonggenteng,2004,847.85,35.74,8.39,-0.28,262.29,11.93,2.67,-0.2
Bojonggenteng,2005,1098.8,48.18,18.26,0.1,549.49,18.93,11.74,0.5
Bojonggenteng,2006,1013.36,49.53,8.5,-0.25,166.2,7.49,2.53,-0.89
Bojonggenteng,2007,918.1,40.13,14.2,-0.91,293.25,9.83,3.38,0.03
Bojonggenteng,2008,1498.62,53.76,26.75,2.23,189.08,7.37,4.43,-0.87
Bojonggenteng,2009,1019.07,45.63,14.18,0.43,249.65,10.07,4.27,0.15
Bojonggenteng,2010,985.27,46.02,9.68,-0.01,773.99,29.78,12.71,1.24
Bojonggenteng,2011,716.57,32.36,3.43,-1.06,214.34,9.17,3.27,-0.32
Bojonggenteng,2012,826.84,32.89,5.86,-0.18,182.33,6.93,1.09,-0.29
Bojonggenteng,2013,1108.77,45.5,16.99,1.02,617.26,23.58,10.88,1.21
Bojonggenteng,2014,1457.54,55.4,30.03,1.62,554.13,21.22,11.21,0.75
Bojonggenteng,2015,1080.27,47.0,19.24,0.14,157.45,4.87,2.89,-1.39
Bojonggenteng,2016,890.42,40.33,10.42,-1.02,839.15,32.15,15.94,1.89
Bojonggenteng,2017,717.06,33.11,4.27,0.64,428.44,16.48,8.63,0.85
Bojonggenteng,2018,793.74,33.14,9.03,0.09,151.76,6.21,2.01,-0.81
Bojonggenteng,2019,806.86,34.05,4.84,-0.31,90.41,3.99,0.67,-1.4
Bojonggenteng,2020,1039.36,40.64,18.74,-0.4,367.33,12.82,5.48,0.35
Bojonggenteng,2021,931.86,37.17,13.03,-0.2,483.65,16.31,8.25,0.52
Bojonggenteng,2022,732.38,30.27,4.89,0.15,642.66,25.57,9.17,0.98
Bojonggenteng,2023,845.55,33.72,8.28,0.22,321.19,13.04,5.5,-0.05
Bojonggenteng,2024,756.6,32.13,4.95,-0.72,380.43,14.62,6.32,0.12
Bojonggenteng,2025,930.52,39.5,13.5,0.83,807.97,34.34,16.56,1.39
Bojonggenteng,2026,434.2,19.78,8.41,0.63,,,,
Caringin,1996,705.03,34.4,8.35,,336.11,11.79,6.14,-0.6
Caringin,1997,1327.04,43.47,27.92,0.07,139.48,4.32,2.15,-1.01
Caringin,1998,864.76,34.75,12.94,-0.99,632.03,24.84,11.65,1.16
Caringin,1999,1043.76,43.57,17.19,-0.18,162.57,5.98,2.09,-1.23
Caringin,2000,1156.95,46.16,20.95,-0.04,312.94,11.41,6.19,0.24
Caringin,2001,1171.82,48.55,21.35,0.68,330.14,12.76,6.65,0.2
Caringin,2002,936.22,37.09,16.67,0.08,296.45,12.24,4.19,-0.36
Caringin,2003,899.38,37.86,12.46,-1.66,173.79,5.73,3.26,-1.95
Caringin,2004,971.4,43.21,12.77,-0.42,266.08,10.16,3.22,-0.2
Caringin,2005,1272.32,55.52,23.91,0.0,561.66,15.68,8.6,0.34
Caringin,2006,1224.3,56.65,16.2,-0.09,171.04,6.65,1.26,-0.79
Caringin,2007,1032.28,42.74,18.38,-1.18,305.74,9.48,5.27,0.05
Caringin,2008,1697.88,58.94,31.29,2.09,203.86,6.46,4.44,-0.88
Caringin,2009,1164.19,51.69,20.56,0.28,266.87,9.91,3.8,0.12
Caringin,2010,1141.38,51.62,17.52,-0.12,822.97,28.53,13.22,1.19
Caringin,2011,836.25,38.88,5.93,-1.07,217.53,7.99,4.51,-0.37
Caringin,2012,941.87,36.59,7.61,-0.31,202.32,7.76,1.65,-0.26
Caringin,2013,1266.23,52.22,22.35,0.88,646.21,22.4,11.26,1.34
Caringin,2014,1673.28,59.08,34.64,1.5,576.1,19.2,11.22,0.8
Caringin,2015,1281.11,50.45,25.13,0.14,151.54,5.3,2.36,-1.47
Caringin,2016,1059.76,46.96,18.22,-0.96,896.66,32.43,18.36,1.98
Caringin,2017,857.31,36.34,9.29,0.57,387.43,16.67,7.76,0.62
Caringin,2018,941.19,39.85,11.11,0.23,154.41,5.73,2.36,-0.81
